"timestamp","source","message","level"
"2025-04-22T16:37:22.000Z","TK_AZ-OLT_OH_Budva_01","TK_AZ-OLT_OH_Budva_01 auditd[0]: ONU Deregister           PON 0/3 ONU 12 llid 52 70:B6:4F:61:1C:C0 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:22.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Register             PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:22.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link LOST            PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:22.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Deregister           PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:22.000Z","TK_AZ_OLT-VE14","TK_AZ_OLT-VE14 auditd[0]: ONU AUTH Success         PON 0/1 ONU 46 70:B6:4F:61:15:F0..","3"
"2025-04-22T16:37:22.000Z","TK_AZ_OLT-VE14","TK_AZ_OLT-VE14 auditd[0]: ONU Link Discover        PON 0/1 ONU 46 70:B6:4F:61:15:F0..","3"
"2025-04-22T16:37:22.389Z","10.252.1.24","hotspot,info,debug E8:65:D4:BB:34:10 (10.5.58.115): logged out: session timeout","-1"
"2025-04-22T16:37:23.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:23.000Z","TK_AZ-OLT_OH_Budva_01","TK_AZ-OLT_OH_Budva_01 auditd[0]: ONU Register             PON 0/3 ONU 12 llid 52 70:B6:4F:61:1C:C0..","3"
"2025-04-22T16:37:23.228Z","10.220.17.1","hotspot,info,debug E4:BE:ED:77:A5:F0 (10.5.51.182): logged out: session timeout","-1"
